,type,country,activity,species,month,fatal,gender,year,age
0,Boating,usa,Paddling,White,Jun,N,F,2018.0,57.0
1,Unprovoked,brazil,Swimming,Tiger,Jun,Y,M,2018.0,18.0
2,Unprovoked,usa,Walking,Bull,May,N,M,2018.0,15.0
3,Provoked,australia,Feeding sharks,Grey,May,N,M,2018.0,32.0
4,Invalid,england,Fishing,Unspecified,May,N,M,2018.0,21.0
5,Unprovoked,costa rica,Scuba diving,Tiger,Apr,N,M,2018.0,30.0
6,Unprovoked,australia,Surfing,Unspecified,Apr,N,M,2018.0,60.0
7,Unprovoked,maldives,Fishing,Tiger,Apr,N,M,2018.0,32.0
8,Unprovoked,south africa,Paddle-skiing,White,Apr,N,M,2018.0,33.0
9,Unprovoked,south africa,Surfing,White,Apr,N,M,2018.0,19.0
10,Unprovoked,usa,Stand-Up Paddleboarding,Tiger,Mar,N,M,2018.0,25.0
11,Unprovoked,australia,Wading,Unspecified,Mar,N,M,2018.0,10.0
12,Unprovoked,australia,Swimming,Unspecified,Mar,N,M,2018.0,25.0
13,Unprovoked,australia,Surfing,Unspecified,Mar,N,M,2018.0,18.0
14,Unprovoked,australia,Swimming,White,Feb,N,F,2018.0,55.0
15,Unprovoked,australia,Walking,Bull,Feb,N,M,2018.0,35.0
16,Unprovoked,brazil,Surfing,Unspecified,Jan,N,M,2018.0,20.0
17,Unprovoked,usa,Surfing,Tiger,Dec,N,F,2017.0,54.0
18,Unprovoked,usa,Spearfishing,White,Nov,N,M,2017.0,25.0
19,Unprovoked,australia,Surfing,Unspecified,Nov,N,M,2017.0,25.0
20,Unprovoked,cuba,Night bathing,Tiger,Nov,Y,M,2017.0,22.0
21,Unprovoked,australia,Surfing,Unspecified,Oct,N,M,2017.0,31.0
22,Unprovoked,australia,Kayaking / Fishing,White,Oct,N,F,2017.0,15.0
23,Unprovoked,usa,Surfing,Tiger,Oct,N,M,2017.0,54.0
24,Unprovoked,usa,Snorkeling,Unspecified,Oct,N,F,2017.0,40.0
25,Invalid,usa,Surfing,Unspecified,Sep,,M,2017.0,33.0
26,Unprovoked,usa,Surfing,Unspecified,Sep,N,M,2017.0,18.0
27,Unprovoked,australia,Surfing,White,Sep,N,M,2017.0,35.0
28,Unprovoked,australia,Surfing,White,Aug,N,M,2017.0,37.0
29,Invalid,spain,Swimming,Unspecified,Aug,,F,2017.0,11.0
30,Unprovoked,usa,SUP,White,Aug,N,M,2017.0,25.0
31,Unprovoked,usa,Swimming,Unspecified,Aug,N,M,2017.0,13.0
32,Provoked,usa,Fishing,Unspecified,Aug,N,M,2017.0,34.0
33,Invalid,usa,Swimming,Unspecified,Jul,,M,2017.0,10.0
34,Boating,usa,Kayaking,White,Jul,N,M,2017.0,40.0
35,Unprovoked,usa,SUP,White,Jul,N,M,2017.0,50.0
36,Unprovoked,usa,Swimming,Bull,Jul,N,M,2017.0,46.0
37,Unprovoked,south africa,Surfing,White,Jul,N,F,2017.0,13.0
38,Unprovoked,australia,Body boarding,White,Jun,N,M,2017.0,48.0
39,Unprovoked,bahamas,Snorkeling,Tiger,Jun,N,F,2017.0,32.0
40,Invalid,usa,Surfing,Unspecified,May,,F,2017.0,18.0
41,Unprovoked,australia,Surfing,White,Apr,Y,F,2017.0,17.0
